folioviv,camb_clim,climate_vulnerability_intensity
100270505,0,0
100270506,0,0
100271601,0,0
100271602,0,0
100271603,0,0
100271604,0,0
100271605,0,0
100271606,0,0
100272501,0,0
100272502,0,0
100272503,0,0
100272504,0,0
100272505,0,0
100272506,0,0
100273701,0,0
100273702,0,0
100273703,0,0
100273704,0,0
100273705,0,0
100273706,0,0
100274901,0,0
100274902,0,0
100274903,0,0
100274904,0,0
100274905,0,0
100274906,0,0
100275701,0,0
100275703,0,0
100275704,0,0
100275705,0,0
100275706,0,0
100276901,0,0
100276902,0,0
100276903,0,0
100276905,0,0
100276906,0,0
100277501,0,0
100277503,0,0
100277505,0,0
100277506,0,0
100278201,0,0
100278202,0,0
100278203,0,0
100278204,0,0
100278205,0,0
100278206,0,0
100279401,0,0
100279402,0,0
100279403,0,0
100279404,0,0
100279405,0,0
100279406,0,0
100280501,0,0
100280503,0,0
100280504,0,0
100280505,0,0
100280506,0,0
100281701,0,0
100281702,0,0
100281703,0,0
100281704,0,0
100281705,0,0
100281706,0,0
100282001,0,0
100282003,0,0
100282004,0,0
100282005,0,0
100282006,0,0
100283301,0,0
100283302,0,0
100283303,0,0
100283304,0,0
100283305,0,0
100283306,0,0
100284601,0,0
100284602,0,0
100284603,0,0
100284604,0,0
100284605,0,0
100284606,0,0
100285901,0,0
100285902,0,0
100285903,0,0
100285904,0,0
100285905,0,0
100285906,0,0
100286602,0,0
100286603,0,0
100287801,0,0
100287802,0,0
100287803,0,0
100287805,0,0
100287806,0,0
100288001,0,0
100288002,0,0
100288004,0,0
100288005,0,0
100288006,0,0
100289701,1,8
100289702,0,0
100289703,0,0
100289704,0,0
100289705,0,0
100289706,0,0
100290501,0,0
100290503,0,0
100291201,0,0
100291202,0,0
100291203,0,0
100291204,0,0
100291205,0,0
100291206,0,0
100292302,0,0
100292303,0,0
100292304,0,0
100292305,0,0
100292306,0,0
100293019,0,0
100293020,1,8
100293021,0,0
100293022,0,0
100293023,1,8
100293024,1,8
100293301,1,8
100293302,0,0
100293303,0,0
100293304,0,0
100293305,0,0
100293306,0,0
100293607,0,0
100293608,1,8
100293609,1,8
100293610,1,8
100293611,0,0
100293612,0,0
100293813,1,8
100293814,1,8
100293815,0,0
100293816,1,8
100293817,0,0
100293818,0,0
100294301,0,0
100294302,0,0
100294303,0,0
100294304,0,0
100294306,0,0
100294507,0,0
100294508,0,0
100294509,0,0
100294510,0,0
100294511,0,0
100294512,0,0
100294713,0,0
100294714,0,0
100294715,0,0
